Week,Actual,Trendline,MovingAvg,Prophet
2011-09-19,329191.141,182203.0,180130.0,65557.0
2011-09-26,206879.251,182284.0,180130.0,111443.0
2011-10-03,311850.76,182364.0,180130.0,116493.0
2011-10-10,222007.21,182445.0,180130.0,94902.0
2011-10-17,265059.28,182525.0,180130.0,79190.0
2011-10-24,243566.29,182606.0,180130.0,84860.0
2011-10-31,294049.21,182686.0,180130.0,103155.0
2011-11-07,358755.37,182767.0,180130.0,124755.0
2011-11-14,374736.15,182847.0,180130.0,155547.0
2011-11-21,303690.32,182928.0,180130.0,198745.0
2011-11-28,310368.86,183008.0,180130.0,228895.0
2011-12-05,484290.64,183089.0,180130.0,202482.0
